id,width,height,aspect,is_jpeg,filesize
img_00001,1685,1203,1.400665004156276,0,2816161
img_00002,1685,1203,1.400665004156276,0,1644367
img_00003,1685,1203,1.400665004156276,0,19596
img_00004,1685,1203,1.400665004156276,0,19596
img_00005,1685,1203,1.400665004156276,0,535908
img_00006,1685,1203,1.400665004156276,0,20368
img_00007,1685,1203,1.400665004156276,0,776390
img_00008,1685,1203,1.400665004156276,0,1297140
img_00009,1685,1203,1.400665004156276,0,457808
img_00010,1685,1203,1.400665004156276,0,1401194
img_00011,1685,1203,1.400665004156276,0,95728
img_00012,1685,1203,1.400665004156276,0,20783
img_00013,1685,1203,1.400665004156276,0,116495
img_00014,1685,1203,1.400665004156276,0,20245
img_00015,1685,1203,1.400665004156276,0,20245
img_00016,1685,1203,1.400665004156276,0,20245
img_00017,1685,1203,1.400665004156276,0,20245
img_00018,1685,1203,1.400665004156276,0,20245
img_00019,1685,1203,1.400665004156276,0,1357080
img_00020,1685,1203,1.400665004156276,0,1357080
img_00021,1685,1203,1.400665004156276,0,1357080
img_00022,1685,1203,1.400665004156276,0,1357080
img_00023,1685,1203,1.400665004156276,0,1357080
img_00024,1685,1203,1.400665004156276,0,640290
img_00025,1685,1203,1.400665004156276,0,2119862
img_00026,1685,1203,1.400665004156276,0,190291
img_00027,1685,1203,1.400665004156276,0,466315
img_00028,1685,1203,1.400665004156276,0,39175
img_00029,1685,1203,1.400665004156276,0,1058051
img_00030,1685,1203,1.400665004156276,0,402411
img_00031,1685,1203,1.400665004156276,0,74005
img_00032,1685,1203,1.400665004156276,0,1469205
img_00033,1685,1203,1.400665004156276,0,74005
img_00034,1685,1203,1.400665004156276,0,1880216
img_00035,1685,1203,1.400665004156276,0,954028
img_00036,1685,1203,1.400665004156276,0,1493989
img_00037,1685,1203,1.400665004156276,0,74005
img_00038,1685,1203,1.400665004156276,0,74005
img_00039,1685,1203,1.400665004156276,0,1642842
img_00040,1685,1203,1.400665004156276,0,1493989
img_00041,1685,1203,1.400665004156276,0,1009884
img_00042,1685,1203,1.400665004156276,0,992295
img_00043,1685,1203,1.400665004156276,0,19135
img_00044,1685,1203,1.400665004156276,0,75211
img_00045,1685,1203,1.400665004156276,0,457808
img_00046,1685,1203,1.400665004156276,0,2092281
img_00047,1685,1203,1.400665004156276,0,1641967
img_00048,1685,1203,1.400665004156276,0,20783
img_00049,1685,1203,1.400665004156276,0,457808
img_00050,1685,1203,1.400665004156276,0,1318844
img_00051,1685,1203,1.400665004156276,0,1493989
img_00052,1685,1203,1.400665004156276,0,946891
img_00053,1685,1203,1.400665004156276,0,1493989
img_00054,1685,1203,1.400665004156276,0,2010760
img_00055,1685,1203,1.400665004156276,0,20368
img_00056,1685,1203,1.400665004156276,0,875979
img_00057,1685,1203,1.400665004156276,0,1181996
img_00058,1685,1203,1.400665004156276,0,71608
img_00059,1685,1203,1.400665004156276,0,1493989
img_00060,1685,1203,1.400665004156276,0,786324
img_00061,1685,1203,1.400665004156276,0,457808
img_00062,1685,1203,1.400665004156276,0,1284104
img_00063,1685,1203,1.400665004156276,0,2131452
img_00064,1685,1203,1.400665004156276,0,1325763
img_00065,1685,1203,1.400665004156276,0,1036103
img_00066,1685,1203,1.400665004156276,0,74005
img_00067,1685,1203,1.400665004156276,0,457808
img_00068,1685,1203,1.400665004156276,0,85086
img_00069,1685,1203,1.400665004156276,0,986259
img_00070,1685,1203,1.400665004156276,0,457808
img_00071,1685,1203,1.400665004156276,0,457801
img_00072,1685,1203,1.400665004156276,0,407640
img_00073,1685,1203,1.400665004156276,0,53195
img_00074,1685,1203,1.400665004156276,0,457808
img_00075,1685,1203,1.400665004156276,0,407640
img_00076,1685,1203,1.400665004156276,0,407640
img_00077,1685,1203,1.400665004156276,0,2190983
img_00078,1685,1203,1.400665004156276,0,457808
img_00079,1685,1203,1.400665004156276,0,75134
img_00080,1685,1203,1.400665004156276,0,1493989
img_00081,1685,1203,1.400665004156276,0,457808
